Formulas|Descriptions
B = sin(lat1) * cos(lat2) * cos(lat3) * cos(l12) - cos(lat1) * sin(lat2) * cos(lat3)|Intermediate value used to find the crossing points of the great circle with a parallel.
C = cos(lat1) * cos(lat2) * sin(lat3) * sin(l12)|Intermediate value used to determine if the great circle crosses the given parallel.
lon = atan2(B, A)|Computes the base longitude using the atan2 function for the crossing points.
IF (abs(C) > sqrt(A^2 + B^2))|"Checks if the great circle crosses the parallel, indicating ""no crossing"" if true."
dlon = acos(C / sqrt(A^2 + B^2))|Calculates the difference in longitude at the crossing points if they exist.
lon3_1 = mod(lon1 + dlon + lon + pi, 2 * pi) - pi|Calculates the first longitude where the great circle crosses the given parallel.
lon3_2 = mod(lon1 - dlon + lon + pi, 2 * pi) - pi|Calculates the second longitude where the great circle crosses the given parallel.
A = sin((1 - f) * d) / sin(d)|Calculates the weighting factor A based on the fraction of the distance f along the great circle.
B = sin(f * d) / sin(d)|Calculates the weighting factor B based on the fraction of the distance f along the great circle.
x = A * cos(lat1) * cos(lon1) + B * cos(lat2) * cos(lon2)|Intermediate x-coordinate for the point a fraction f along the great circle.
y = A * cos(lat1) * sin(lon1) + B * cos(lat2) * sin(lon2)|Intermediate y-coordinate for the point a fraction f along the great circle.
z = A * sin(lat1) + B * sin(lat2)|Intermediate z-coordinate for the point a fraction f along the great circle.
lat = atan2(z, sqrt(x^2 + y^2))|Calculates the latitude of the point a fraction f along the great circle.
lon = atan2(y, x)|Calculates the longitude of the point a fraction f along the great circle.
XTD = asin(sin(dist_AD) * sin(crs_AD - crs_AB))|Calculates the cross track error (XTD), which is the perpendicular distance from the point D to the great circle route from A to B. Positive XTD indicates right of course, negative indicates left.
ATD = acos(cos(dist_AD) / cos(XTD))|Calculates the along track distance (ATD), the distance from point A along the course towards point B to the point abeam D.
ATD = asin(sqrt((sin(dist_AD))^2 - (sin(XTD))^2) / cos(XTD))|Alternative formula for the along track distance for very short distances, less susceptible to rounding errors.
A = crs_AD - crs_AB|Difference in initial great circle bearings from A to B and A to D.
r = (cos(b)^2 + sin(b)^2 * cos(A)^2)^(1/2)|Intermediate value to determine the existence of points on the great circle at a specific distance from point D.
p = atan2(sin(b) * cos(A), cos(b))|Calculates the along track distance in radians from A towards B.
IF (cos(d)^2 > r^2) THEN No points exist|Checks if there are any points on the great circle at the given distance d from point D.
dp = p +- acos(cos(d) / r)|Calculates the distances of the desired points from A along the great circle route AB, where the points lie at a distance d from D.
acos(x) = atan2(sqrt(1 - x^2), x)|Computes the arc-cosine using the atan2 function when acos is unavailable.
asin(x) = atan2(x, sqrt(1 - x^2))|Computes the arc-sine using the atan2 function when asin is unavailable.
asin(x) = 2 * atan(x / (1 + sqrt(1 - x*x)))|Computes the arc-sine using only the atan function.
acos(x) = 2 * atan(sqrt((1 - x) / (1 + x)))|Computes the arc-cosine using only the atan function when x >= 0.
acos(x) = pi - 2 * atan(sqrt((1 + x) / (1 - x)))|Computes the arc-cosine using only the atan function when x < 0.
atan2(y, x) = atan(y / x)|Computes the atan2 using atan when x > 0.
atan2(y, x) = atan(y / x) + pi|Computes the atan2 using atan when x < 0 and y >= 0.
atan2(y, x) = pi/2|Returns the value for atan2 when x = 0 and y > 0.
atan2(y, x) = atan(y / x) - pi|Computes the atan2 using atan when x < 0 and y < 0.
atan2(y, x) = -pi/2|Returns the value for atan2 when x = 0 and y < 0.
asin_safe(x) = asin(max(-1, min(x, 1)))|A safe version of the asin function to handle rounding errors that might cause the argument to exceed 1 in magnitude.
acos_safe(x) = acos(max(-1, min(x, 1)))|A safe version of the acos function to handle rounding errors that might cause the argument to exceed 1 in magnitude.
mod(y, x) = y - x * floor(y / x)|Calculates the remainder of y divided by x, ensuring the result is always in the range 0 <= mod < x.
IF (mod < 0) mod = mod + x|Adjusts the result of mod to ensure it is non-negative if necessary.
sin(a) / sin(A) = sin(b) / sin(B) = sin(c) / sin(C)|Relates the sides and angles of a spherical triangle using the law of sines.
cos(a) = cos(b) * cos(c) + sin(b) * sin(c) * cos(A)|Law of cosines for spherical triangles, relating side 'a' and angles.
cos(b) = cos(c) * cos(a) + sin(c) * sin(a) * cos(B)|Law of cosines for spherical triangles, relating side 'b' and angles.
cos(c) = cos(a) * cos(b) + sin(a) * sin(b) * cos(C)|Law of cosines for spherical triangles, relating side 'c' and angles.
cos(A) = -cos(B) * cos(C) + sin(B) * sin(C) * cos(a)|Law of cosines for spherical triangles, relating angle 'A' and sides.
cos(B) = -cos(C) * cos(A) + sin(C) * sin(A) * cos(b)|Law of cosines for spherical triangles, relating angle 'B' and sides.
cos(C) = -cos(A) * cos(B) + sin(A) * sin(B) * cos(c)|Law of cosines for spherical triangles, relating angle 'C' and sides.
tan(A) = sin(B) * sin(a) / (sin(c) * cos(a) - cos(B) * cos(c) * sin(a))|Relates angle 'A' and sides 'a' and 'b' in a spherical triangle.
tan(B) = sin(C) * sin(b) / (sin(a) * cos(b) - cos(C) * cos(a) * sin(b))|Relates angle 'B' and sides 'b' and 'c' in a spherical triangle.
tan(C) = sin(A) * sin(c) / (sin(b) * cos(c) - cos(A) * cos(b) * sin(c))|Relates angle 'C' and sides 'c' and 'a' in a spherical triangle.
tan(a) = sin(b) * sin(A) / (sin(C) * cos(A) + cos(b) * cos(C) * sin(A))|Relates side 'a' and angles 'A' and 'B' in a spherical triangle.
tan(b) = sin(c) * sin(B) / (sin(A) * cos(B) + cos(c) * cos(A) * sin(B))|Relates side 'b' and angles 'B' and 'C' in a spherical triangle.
tan(c) = sin(a) * sin(C) / (sin(B) * cos(C) + cos(a) * cos(B) * sin(C))|Relates side 'c' and angles 'C' and 'A' in a spherical triangle.
a =acos(cos(b) * cos(c) + sin(b) * sin(c) * cos(A))|Solves a spherical triangle given two sides and the included angle.
B = acos((cos(b) - cos(c) * cos(a)) / (sin(c) * sin(a)))|Finds angle 'B' given sides 'a', 'b', and 'c'.
C = acos((cos(c) - cos(a) * cos(b)) / (sin(a) * sin(b)))|Finds angle 'C' given sides 'a', 'b', and 'c'.
A = acos(-cos(B) * cos(C) + sin(B) * sin(C) * cos(a))|Finds angle 'A' given two angles and the included side.
b = atan2(sin(a) * sin(B) * sin(C), cos(B) + cos(C) * cos(A))|Finds side 'b' given angle 'A' and two other angles.
c = atan2(sin(a) * sin(B) * sin(C), cos(C) + cos(A) * cos(B))|Finds side 'c' given angle 'A' and two other angles.
A = acos((cos(a) - cos(b) * cos(c)) / (sin(b) * sin(c)))|Solves a spherical triangle given three sides.
delta = (A + B + C - pi) / 2|Calculates the spherical excess, used to find the area of the spherical triangle.
a = 2 * asin(sqrt(sin(delta) * sin(A - delta) / (sin(B) * sin(C))))|Calculates side 'a' given three angles.
Area = E * R^2|Calculates the surface area enclosed by a spherical triangle using the spherical excess E.
E = 4 * atan(sqrt(tan(s/2) * tan((s - a)/2) * tan((s - b)/2) * tan((s - c)/2)))|Calculates the spherical excess E given the sides of the triangle.
s = (a + b + c) / 2|Semi-perimeter of the spherical triangle.
sin(A/2) = sqrt((sin(s - b) * sin(s - c)) / (sin(b) * sin(c)))|Finds half-angle 'A' using the sides of the triangle.
cos(A/2) = sqrt((sin(s) * sin(s - a)) / (sin(b) * sin(c)))|Finds half-angle 'A' using the sides of the triangle.
tan(A/2) = sin((b - c)/2) / (sin((b + c)/2) * tan((B - C)/2))|Calculates half-angle 'A' using sides 'b' and 'c' and angles 'B' and 'C'.
tan(A/2) = cos((b - c)/2) / (cos((b + c)/2) * tan((B + C)/2))|Alternative way to calculate half-angle 'A' using sides 'b' and 'c' and angles 'B' and 'C'.
tan(a/2) = cos((B + C)/2) * tan((b + c)/2) / cos((B - C)/2)|Calculates half-side 'a' using angles 'B' and 'C' and sides 'b' and 'c'.
tan(a/2) = sin((B + C)/2) * tan((b - c)/2) / sin((B - C)/2)|Alternative way to calculate half-side 'a' using angles 'B' and 'C' and sides 'b' and 'c'.
tan((A - B)/2) = cot(C/2) * sin((a - b)/2) / sin((a + b)/2)|Calculates half-angle difference for 'A' and 'B' using side 'C'.
tan((A + B)/2) = cot(C/2) * cos((a - b)/2) / cos((a + b)/2)|Calculates half-angle sum for 'A' and 'B' using side 'C'.
sin(a) * cos(B) = cos(b) * sin(c) - sin(b) * cos(c) * cos(A)|Relates side 'a' and angle 'B' in a spherical triangle.
cos(a) * cos(C) = sin(a) * cot(b) - sin(C) * cot(B)|Relates side 'a' and angle 'C' in a spherical triangle.
cos(A) = sin(C) * cos(a)|Napier's rule for right spherical triangles.
cos(C) = sin(A) * cos(c)|Napier's rule for right spherical triangles.
sin(a) = sin(A) * sin(b)|Napier's rule for right spherical triangles.
sin(c) = sin(C) * sin(b)|Napier's rule for right spherical triangles.
tan(a) = tan(b) * cos(C) = sin(c) * tan(A)|Napier's rule for right spherical triangles.
tan(c) = tan(b) * cos(A) = sin(a) * tan(C)|Napier's rule for right spherical triangles.
cos(b) = cos(a) * cos(c) = 1 / (tan(A) * tan(C))|Napier's rule for right spherical triangles.
lon2 - lon1 = -tan(tc) * (log((1 + sin(lat2)) / cos(lat2)) - log((1 + sin(lat1)) / cos(lat1)))|Relates the change in longitude to the true course and latitudes of two points connected by a rhumb line.
lon2 - lon1 = -tan(tc) * (log((1 + tan(lat2/2)) / (1 - tan(lat2/2))) - log((1 + tan(lat1/2)) / (1 - tan(lat1/2))))|Alternative form using tangent function for calculating the change in longitude.
lon2 - lon1 = -tan(tc) * log(tan(lat2/2 + pi/4) / tan(lat1/2 + pi/4))|Simplified formula using natural logarithms and tangent function.
tc = mod(atan2(lon1 - lon2, log(tan(lat2/2 + pi/4) / tan(lat1/2 + pi/4))), 2 * pi)|Calculates the true course between two points connected by a rhumb line.
IF (abs(lat2 - lat1) < sqrt(TOL)) q = cos(lat1)|Checks if the latitudes are approximately equal to avoid indeterminacies and sets q to the cosine of latitude.
q = (lat2 - lat1) / log(tan(lat2/2 + pi/4) / tan(lat1/2 + pi/4))|Calculates the factor q when latitudes are different, used in distance calculation.
d = sqrt((lat2 - lat1)^2 + q^2 * (lon2 - lon1)^2)|Calculates the distance between two points along a rhumb line.
dlon_W = mod(lon2 - lon1, 2 * pi)|Calculates the westerly difference in longitude considering crossing the 180° meridian.
dlon_E = mod(lon1 - lon2, 2 * pi)|Calculates the easterly difference in longitude considering crossing the 180° meridian.
dphi = log(tan(lat2/2 + pi/4) / tan(lat1/2 + pi/4))|Computes the difference in latitude using the tangent function and natural logarithms.
IF (dlon_W < dlon_E) tc = mod(atan2(-dlon_W, dphi), 2 * pi)|Determines if the westerly rhumb line is the shortest and calculates the true course.
d = sqrt(q^2 * dlon_W^2 + (lat2 - lat1)^2)|Calculates the shortest rhumb line distance using westerly difference.
IF (dlon_W >= dlon_E) tc = mod(atan2(dlon_E, dphi), 2 * pi)|Determines if the easterly rhumb line is the shortest and calculates the true course.
d = sqrt(q^2 * dlon_E^2 + (lat2 - lat1)^2)|Calculates the shortest rhumb line distance using easterly difference.
lat = lat1 + d * cos(tc)|Calculates the latitude of a point on a rhumb line given the distance and true course.
IF (abs(lat) > pi/2)|Checks if the latitude is beyond the poles, indicating the distance is too large for this rhumb line.
IF (abs(lat - lat1) < sqrt(TOL)) q = cos(lat1)|Checks if the latitudes are approximately equal to avoid indeterminacies and sets q.
dphi = log(tan(lat/2 + pi/4) / tan(lat1/2 + pi/4))|Computes the change in latitude using the tangent function and natural logarithms.
q = (lat - lat1) / dphi|Calculates the factor q for a given change in latitude.
dlon = -d * sin(tc) / q|Computes the change in longitude for the rhumb line.
lon = mod(lon1 + dlon + pi, 2 * pi) - pi|Calculates the longitude of the point on the rhumb line, ensuring it remains within the valid range.
distance_North = R1 * dlat|Calculates the northward distance from a fixed point using the meridional radius of curvature and the change in latitude.
distance_East = R2 * cos(lat0) * dlon|Calculates the eastward distance from a fixed point using the radius of curvature in the prime vertical, the change in longitude, and the cosine of the fixed latitude.
R1 = a * (1 - e^2) / (1 - e^2 * (sin(lat0))^2)^(3/2)|Computes the meridional radius of curvature using the equatorial radius and eccentricity squared.
R2 = a / sqrt(1 - e^2 * (sin(lat0))^2)|Computes the radius of curvature in the prime vertical using the equatorial radius and eccentricity squared.
e^2 = f * (2 - f)|Calculates the eccentricity squared using the flattening factor.
f = 1 / 298.257223563|The flattening factor for the WGS84 ellipsoid model.
a = 6378.137000 km|The equatorial radius of the Earth for the WGS84 model.
distance = sqrt(distance_North^2 + distance_East^2)|Calculates the straight-line distance using Pythagorean theorem in the flat earth approximation.
bearing to (lat, lon) = mod(atan2(distance_East, distance_North), 2 * pi)|Calculates the bearing to a point using plane trigonometry.
bearing to (lat, lon) = mod(atan2(cos(lat0) * dlon, dlat), 2 * pi)|Calculates the bearing to a point using spherical coordinates.
angle_radians = (pi / 180) * angle_degrees|Converts an angle from degrees to radians.
angle_degrees = (180 / pi) * angle_radians|Converts an angle from radians to degrees.
angle_degrees = degrees + (minutes / 60) + (seconds / 3600)|Converts degrees, minutes, and seconds to decimal degrees.
degrees = int(angle_degrees)|Extracts the whole number of degrees from a decimal degree value.
minutes = int(60 * (angle_degrees - degrees))|Extracts the minutes component from a decimal degree value.
